sample	sample_label	sample_name	sample_source	path
chimeric_AAVhg19_RUN1_err0	chimeric_AAVhg19_RUN1_err0	chimeric_AAVhg19_RUN1_err0	chimeric_AAVhg19_RUN1_err0	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVHG19/chimeric_AAVhg19_RUN1_err0.fastq.gz
chimeric_AAVhg19_RUN1_err005	chimeric_AAVhg19_RUN1_err005	chimeric_AAVhg19_RUN1_err005	chimeric_AAVhg19_RUN1_err005	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVHG19/chimeric_AAVhg19_RUN1_err005.fastq.gz
chimeric_AAVhg19_RUN1_err01	chimeric_AAVhg19_RUN1_err01	chimeric_AAVhg19_RUN1_err01	chimeric_AAVhg19_RUN1_err01	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVHG19/chimeric_AAVhg19_RUN1_err01.fastq.gz
chimeric_AAVhg19_RUN1_err02	chimeric_AAVhg19_RUN1_err02	chimeric_AAVhg19_RUN1_err02	chimeric_AAVhg19_RUN1_err02	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVHG19/chimeric_AAVhg19_RUN1_err02.fastq.gz
chimeric_AAVhg19_RUN2_err0	chimeric_AAVhg19_RUN2_err0	chimeric_AAVhg19_RUN2_err0	chimeric_AAVhg19_RUN2_err0	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVHG19/chimeric_AAVhg19_RUN2_err0.fastq.gz
chimeric_AAVhg19_RUN2_err005	chimeric_AAVhg19_RUN2_err005	chimeric_AAVhg19_RUN2_err005	chimeric_AAVhg19_RUN2_err005	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVHG19/chimeric_AAVhg19_RUN2_err005.fastq.gz
chimeric_AAVhg19_RUN2_err01	chimeric_AAVhg19_RUN2_err01	chimeric_AAVhg19_RUN2_err01	chimeric_AAVhg19_RUN2_err01	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVHG19/chimeric_AAVhg19_RUN2_err01.fastq.gz
chimeric_AAVhg19_RUN2_err02	chimeric_AAVhg19_RUN2_err02	chimeric_AAVhg19_RUN2_err02	chimeric_AAVhg19_RUN2_err02	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVHG19/chimeric_AAVhg19_RUN2_err02.fastq.gz
chimeric_AAVhg19_RUN3_err0	chimeric_AAVhg19_RUN3_err0	chimeric_AAVhg19_RUN3_err0	chimeric_AAVhg19_RUN3_err0	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVHG19/chimeric_AAVhg19_RUN3_err0.fastq.gz
chimeric_AAVhg19_RUN3_err005	chimeric_AAVhg19_RUN3_err005	chimeric_AAVhg19_RUN3_err005	chimeric_AAVhg19_RUN3_err005	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVHG19/chimeric_AAVhg19_RUN3_err005.fastq.gz
chimeric_AAVhg19_RUN3_err01	chimeric_AAVhg19_RUN3_err01	chimeric_AAVhg19_RUN3_err01	chimeric_AAVhg19_RUN3_err01	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVHG19/chimeric_AAVhg19_RUN3_err01.fastq.gz
chimeric_AAVhg19_RUN3_err02	chimeric_AAVhg19_RUN3_err02	chimeric_AAVhg19_RUN3_err02	chimeric_AAVhg19_RUN3_err02	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVHG19/chimeric_AAVhg19_RUN3_err02.fastq.gz
