sample	sample_label	sample_name	sample_source	path
chimeric_hg19AAV_RUN1_err0	chimeric_hg19AAV_RUN1_err0	chimeric_hg19AAV_RUN1_err0	chimeric_hg19AAV_RUN1_err0	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/HG19AAV/chimeric_hg19AAV_RUN1_err0.fastq.gz
chimeric_hg19AAV_RUN1_err005	chimeric_hg19AAV_RUN1_err005	chimeric_hg19AAV_RUN1_err005	chimeric_hg19AAV_RUN1_err005	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/HG19AAV/chimeric_hg19AAV_RUN1_err005.fastq.gz
chimeric_hg19AAV_RUN1_err01	chimeric_hg19AAV_RUN1_err01	chimeric_hg19AAV_RUN1_err01	chimeric_hg19AAV_RUN1_err01	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/HG19AAV/chimeric_hg19AAV_RUN1_err01.fastq.gz
chimeric_hg19AAV_RUN1_err02	chimeric_hg19AAV_RUN1_err02	chimeric_hg19AAV_RUN1_err02	chimeric_hg19AAV_RUN1_err02	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/HG19AAV/chimeric_hg19AAV_RUN1_err02.fastq.gz
chimeric_hg19AAV_RUN2_err0	chimeric_hg19AAV_RUN2_err0	chimeric_hg19AAV_RUN2_err0	chimeric_hg19AAV_RUN2_err0	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/HG19AAV/chimeric_hg19AAV_RUN2_err0.fastq.gz
chimeric_hg19AAV_RUN2_err005	chimeric_hg19AAV_RUN2_err005	chimeric_hg19AAV_RUN2_err005	chimeric_hg19AAV_RUN2_err005	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/HG19AAV/chimeric_hg19AAV_RUN2_err005.fastq.gz
chimeric_hg19AAV_RUN2_err01	chimeric_hg19AAV_RUN2_err01	chimeric_hg19AAV_RUN2_err01	chimeric_hg19AAV_RUN2_err01	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/HG19AAV/chimeric_hg19AAV_RUN2_err01.fastq.gz
chimeric_hg19AAV_RUN2_err02	chimeric_hg19AAV_RUN2_err02	chimeric_hg19AAV_RUN2_err02	chimeric_hg19AAV_RUN2_err02	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/HG19AAV/chimeric_hg19AAV_RUN2_err02.fastq.gz
chimeric_hg19AAV_RUN3_err0	chimeric_hg19AAV_RUN3_err0	chimeric_hg19AAV_RUN3_err0	chimeric_hg19AAV_RUN3_err0	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/HG19AAV/chimeric_hg19AAV_RUN3_err0.fastq.gz
chimeric_hg19AAV_RUN3_err005	chimeric_hg19AAV_RUN3_err005	chimeric_hg19AAV_RUN3_err005	chimeric_hg19AAV_RUN3_err005	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/HG19AAV/chimeric_hg19AAV_RUN3_err005.fastq.gz
chimeric_hg19AAV_RUN3_err01	chimeric_hg19AAV_RUN3_err01	chimeric_hg19AAV_RUN3_err01	chimeric_hg19AAV_RUN3_err01	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/HG19AAV/chimeric_hg19AAV_RUN3_err01.fastq.gz
chimeric_hg19AAV_RUN3_err02	chimeric_hg19AAV_RUN3_err02	chimeric_hg19AAV_RUN3_err02	chimeric_hg19AAV_RUN3_err02	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/HG19AAV/chimeric_hg19AAV_RUN3_err02.fastq.gz
chimeric_hg19AAV_RUN4_err0	chimeric_hg19AAV_RUN4_err0	chimeric_hg19AAV_RUN4_err0	chimeric_hg19AAV_RUN4_err0	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/HG19AAV/chimeric_hg19AAV_RUN4_err0.fastq.gz
chimeric_hg19AAV_RUN4_err005	chimeric_hg19AAV_RUN4_err005	chimeric_hg19AAV_RUN4_err005	chimeric_hg19AAV_RUN4_err005	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/HG19AAV/chimeric_hg19AAV_RUN4_err005.fastq.gz
chimeric_hg19AAV_RUN4_err01	chimeric_hg19AAV_RUN4_err01	chimeric_hg19AAV_RUN4_err01	chimeric_hg19AAV_RUN4_err01	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/HG19AAV/chimeric_hg19AAV_RUN4_err01.fastq.gz
chimeric_hg19AAV_RUN4_err02	chimeric_hg19AAV_RUN4_err02	chimeric_hg19AAV_RUN4_err02	chimeric_hg19AAV_RUN4_err02	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/HG19AAV/chimeric_hg19AAV_RUN4_err02.fastq.gz
chimeric_hg19AAV_RUN5_err0	chimeric_hg19AAV_RUN5_err0	chimeric_hg19AAV_RUN5_err0	chimeric_hg19AAV_RUN5_err0	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/HG19AAV/chimeric_hg19AAV_RUN5_err0.fastq.gz
chimeric_hg19AAV_RUN5_err005	chimeric_hg19AAV_RUN5_err005	chimeric_hg19AAV_RUN5_err005	chimeric_hg19AAV_RUN5_err005	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/HG19AAV/chimeric_hg19AAV_RUN5_err005.fastq.gz
chimeric_hg19AAV_RUN5_err01	chimeric_hg19AAV_RUN5_err01	chimeric_hg19AAV_RUN5_err01	chimeric_hg19AAV_RUN5_err01	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/HG19AAV/chimeric_hg19AAV_RUN5_err01.fastq.gz
chimeric_hg19AAV_RUN5_err02	chimeric_hg19AAV_RUN5_err02	chimeric_hg19AAV_RUN5_err02	chimeric_hg19AAV_RUN5_err02	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/HG19AAV/chimeric_hg19AAV_RUN5_err02.fastq.gz
