sample	sample_label	sample_name	sample_source	path
AAVonly_RUN1_err0	AAVonly_RUN1_err0	AAVonly_RUN1_err0	AAVonly_RUN1_err0	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVONLY/AAVonly_RUN1_err0.fastq.gz
AAVonly_RUN1_err005	AAVonly_RUN1_err005	AAVonly_RUN1_err005	AAVonly_RUN1_err005	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVONLY/AAVonly_RUN1_err005.fastq.gz
AAVonly_RUN1_err01	AAVonly_RUN1_err01	AAVonly_RUN1_err01	AAVonly_RUN1_err01	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVONLY/AAVonly_RUN1_err01.fastq.gz
AAVonly_RUN1_err02	AAVonly_RUN1_err02	AAVonly_RUN1_err02	AAVonly_RUN1_err02	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVONLY/AAVonly_RUN1_err02.fastq.gz
AAVonly_RUN2_err0	AAVonly_RUN2_err0	AAVonly_RUN2_err0	AAVonly_RUN2_err0	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVONLY/AAVonly_RUN2_err0.fastq.gz
AAVonly_RUN2_err005	AAVonly_RUN2_err005	AAVonly_RUN2_err005	AAVonly_RUN2_err005	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVONLY/AAVonly_RUN2_err005.fastq.gz
AAVonly_RUN2_err01	AAVonly_RUN2_err01	AAVonly_RUN2_err01	AAVonly_RUN2_err01	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVONLY/AAVonly_RUN2_err01.fastq.gz
AAVonly_RUN2_err02	AAVonly_RUN2_err02	AAVonly_RUN2_err02	AAVonly_RUN2_err02	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVONLY/AAVonly_RUN2_err02.fastq.gz
AAVonly_RUN3_err0	AAVonly_RUN3_err0	AAVonly_RUN3_err0	AAVonly_RUN3_err0	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVONLY/AAVonly_RUN3_err0.fastq.gz
AAVonly_RUN3_err005	AAVonly_RUN3_err005	AAVonly_RUN3_err005	AAVonly_RUN3_err005	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVONLY/AAVonly_RUN3_err005.fastq.gz
AAVonly_RUN3_err01	AAVonly_RUN3_err01	AAVonly_RUN3_err01	AAVonly_RUN3_err01	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVONLY/AAVonly_RUN3_err01.fastq.gz
AAVonly_RUN3_err02	AAVonly_RUN3_err02	AAVonly_RUN3_err02	AAVonly_RUN3_err02	PATHTORAAVIOLIDIR/Data/Long/SIMULATEDREADS/AAVONLY/AAVonly_RUN3_err02.fastq.gz
